message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t970	44	to	mention				1328835697		t170	
t1190	44	to	mention				1329179718		t179	
t1026	44	to	mention				1329265106		t189	
t1594	44	to	mention				1329960089		t221	
t122	44	to	mention				1330392244		t243	
t1025	44	to	mention				1331598614		t355	
t1427	44	to	mention				1331686473		t367	
t1496	44	to	mention				1332810697		t453	
t123	44	to	mention				1332979957		t476	
t1361	44	to	mention				1333067497		t484	
t1609	44	to	mention				1333758097		t546	
t1027	44	to	mention				1333757602		t554	
t1563	44	to	mention				1333845153		t561	
t127	44	to	mention				1333843687		t562	
t305	44	to	mention				1334192598		t567	
t1365	44	to	mention				1334537107		t603	
t1363	44	to	mention				1336267124		t751	
t1351	44	to	mention				1336440689		t770	
t1367	44	to	mention				1337215458		t840	
t311	44	to	mention				1338336495		t940	
t1396	44	to	mention				1338944961		t991	
t1364	44	to	mention				1339979557		t1099	
t125	44	to	mention				1340498745		t1182	
t1045	44	to	mention				1340670805		t1191	
t1362	44	to	mention				1341537423		t1308	
t131	44	to	mention				1341537592		t1309	
t1366	44	to	mention				1342746063		t1461	
t978	44	to	mention				1346722038		t1638	
t129	44	to	mention				1346807644		t1648	
t463	44	from	mention				1346803699		t1648	
t130	44	to	mention				1346803923		t1648	
t124	44	from	mention				1347413601		t1693	
t132	44	to	mention				1351905389		t2024	
t1679	44	from	mention				1351905419		t2026	
t285	44	to	mention				1351902164		t2026	
t128	44	to	mention				1352592423		t2069	
t436	44	from	mention				1352593132		t2069	
t382	44	from	mention				1352593173		t2075	
t126	44	to	mention				1352856168		t2094	
t13	44	to	mention				1356135236		t2359	
t383	44	from	mention				1356135656		t2359	
t908	44	to	mention				1328835592		t2396	
t1675	44	from	dm				1340498962		dm44	
t983	44	to	dm				1340499221		dm44	
t1241	44	from	dm				1340499524		dm44	
t1250	44	from	dm				1341534858		dm44	
t1198	44	from	dm				1352592633		dm44	
t1040	45	to	mention				1325636351		t7	
t1143	45	to	mention				1325641125		t9	
t329	45	to	mention				1326241923		t56	
t255	45	to	mention				1326242489		t57	
t1405	45	to	mention				1329787676		t212	
t259	45	to	mention				1330392176		t253	
t739	45	to	mention				1330994767		t301	
t916	45	to	mention				1331082374		t309	
t1579	45	to	mention				1331082307		t310	
t322	45	to	mention				1331770169		t377	
t738	45	to	mention				1331944908		t395	
t253	45	to	mention				1334189973		t568	
t252	45	to	mention				1334190956		t569	
t816	45	to	mention				1334275908		t582	
t898	45	to	mention				1334365627		t592	
t1341	45	to	mention				1334970993		t637	
t256	45	to	mention				1335229331		t671	
t257	45	to	mention				1335400353		t678	
t258	45	to	mention				1335399371		t679	
t1719	45	to	mention				1335489464		t689	
t980	45	to	mention				1335574818		t694	
t888	45	to	mention				1335572598		t696	
t1543	45	to	mention				1335571841		t700	
t1264	45	to	mention				1336178823		t742	
t306	45	to	mention				1336179075		t745	
t1408	45	to	mention				1337648433		t860	
t1084	45	to	mention				1340241419		t1134	
t1148	45	to	mention				1340671214		t1192	
t260	45	to	mention				1341883147		t1361	
t676	45	to	mention				1341879724		t1362	
t794	45	to	mention				1341880642		t1363	
t795	45	to	mention				1341880957		t1364	
t1406	45	to	mention				1342227041		t1415	
t254	45	to	mention				1343262576		t1518	
t782	45	to	mention				1347411449		t1695	
t264	45	to	mention				1350350028		t1852	
t922	45	to	mention				1350523724		t1885	
t392	45	from	mention				1350523732		t1885	
t18	45	from	mention				1353458013		t2145	
t706	45	from	mention				1353458235		t2145	
t699	45	to	mention				1353458344		t2145	
t393	45	from	mention				1353460012		t2145	
t1409	45	to	mention				1353545433		t2150	
t1407	45	to	mention				1353630007		t2161	
t1286	45	from	dm				1331942861		dm45	
t1623	45	to	dm				1331943097		dm45	
